Model,Foundation,Parameters (B),MMLU,BBH,DROP,CRASS,HumanEval,Average
Human,,,89.8,94.4,94.1,98.2,,
[GPT-4](https://openai.com/gpt-4),,,86.4,,80.9,,67.0,
[Palm 2 Instruct](https://ai.google/static/documents/palm2techreport.pdf),,,81.2,69.1,85.0,,,
[ChatGPT](https://chat.openai.com),,,70.0,49.6,64.1,90.5,48.1,64.5
,,,,,,,,
[LLaMA](https://huggingface.co/decapoda-research/llama-65b-hf),LLaMA,65,62.6,42.6,51.0,54.4,7.3,43.6
[Alpaca Lora](https://huggingface.co/TheBloke/alpaca-lora-65B-GPTQ-4bit),LLaMA,65,61.7,45.7,51.0,68.6,23.2,50.0
[GPT4 Alpaca Lora](https://huggingface.co/TheBloke/gpt4-alpaca-lora-30b-HF),LLaMA,30,58.4,41.3,45.1,79.2,18.9,48.6
[OpenAssistant](https://huggingface.co/TheBloke/OpenAssistant-SFT-7-Llama-30B-HF),LLaMA,30,56.9,39.2,46.0,67.2,23.1,46.5
[LLaMA](https://huggingface.co/decapoda-research/llama-30b-hf),LLaMA,30,57.8,39.3,45.4,68.6,14.0,45.0
[GPT4 Alpaca Lora GPTQ](https://huggingface.co/TheBloke/gpt4-alpaca-lora-30B-GPTQ-4bit-128g),,,,,,80.3,,
[Flan-UL2](https://huggingface.co/google/flan-ul2),UL2,20,55.0,44.7,64.3,94.2,0.0,51.6
[Flan UL2 Alpaca Lora](https://huggingface.co/VMware/flan-ul2-alpaca-lora),UL2,20,45.7,39.2,54.3,91.2,0.0,46.1
[Flan UL2 Dolly Lora](http://coniferlabs/flan-ul2-dolly-lora),UL2,20,52.2,41.8,53.5,90.9,0.0,47.7
[OPT IML](https://huggingface.co/facebook/opt-iml-30b),OPT,30,38.6,31.3,47.5,67.2,9.1,38.7
[OPT](https://huggingface.co/facebook/opt-30b),OPT,30,27.3,28.3,19.5,34.7,1.2,22.2
[Flan-Alpaca](https://huggingface.co/http://declare-lab/flan-alpaca-xxl),T5,11,50.9,23.3,62.3,90.2,0.0,45.3
[Flan-T5-XXL](https://huggingface.co/google/flan-t5-xxl/tree/main),T5,11,54.5,43.9,67.2,88.3,0.0,50.8
[TK-Instruct](https://huggingface.co/allenai/tk-instruct-11b-def-pos),T5,11,41.1,32.9,28.6,31.4,0.0,26.8
[T0](https://huggingface.co/bigscience/T0pp),T5,11,36.8,10.8,1.6,58.0,0.0,21.5
[StableVicuna](https://huggingface.co/TheBloke/stable-vicuna-13B-HF),LLaMA,13,49.2,37.5,34.3,67.5,15.9,40.9
[Vicuna](https://huggingface.co/eachadea/vicuna-13b-1.1),LLaMA,13,49.7,37.1,32.9,60.9,15.2,39.2
[GPT4 Alpaca Lora](https://huggingface.co/TheBloke/gpt4-alpaca-lora-13B-HF),LLaMA,13,46.4,36.6,35.4,61.0,14.0,38.7
[LLaMA](https://huggingface.co/decapoda-research/llama-13b-hf),LLaMA,13,46.2,37.1,35.3,58.8,13.4,38.2
[Koala](https://huggingface.co/TheBloke/koala-13B-HF),LLaMA,13,44.6,34.6,28.3,52.6,11.0,34.2
